date,Apple_Price,Apple_Vol.,sentiment_score
07-25-2019,51.76,55640000.0,0.0
07-26-2019,51.94,70480000.0,0.0
07-29-2019,52.42,86690000.0,0.0
07-30-2019,52.2,135740000.0,0.0
07-31-2019,53.26,277130000.0,0.0
08-01-2019,52.11,216070000.0,0.0
08-02-2019,51.01,163450000.0,0.0
08-05-2019,48.34,209570000.0,0.0
08-06-2019,49.25,143300000.0,0.0
08-07-2019,49.76,133460000.0,0.0
08-08-2019,50.86,108040000.0,0.0
08-09-2019,50.25,98480000.0,0.0
08-12-2019,50.12,89930000.0,0.0
08-13-2019,52.24,190160000.0,0.0
08-14-2019,50.69,146190000.0,0.0
08-15-2019,50.44,111530000.0,0.0
08-16-2019,51.62,115250000.0,0.0
08-19-2019,52.59,97730000.0,0.0
08-20-2019,52.59,107680000.0,0.0
08-21-2019,53.16,86260000.0,0.0
08-22-2019,53.12,89070000.0,0.0
08-23-2019,50.66,187530000.0,0.0
08-26-2019,51.62,104260000.0,0.0
08-27-2019,51.04,103590000.0,0.0
08-28-2019,51.38,63830000.0,0.0
08-29-2019,52.25,84030000.0,0.0
08-30-2019,52.19,84650000.0,0.0
09-02-2019,52.19,84650000.0,0.0
09-03-2019,51.42,80240000.0,0.0
09-04-2019,52.3,76870000.0,0.0
09-05-2019,53.32,95790000.0,0.0
09-06-2019,53.31,77450000.0,0.0
09-09-2019,53.54,109240000.0,0.0
09-10-2019,54.17,127110000.0,0.0
09-11-2019,55.9,177160000.0,0.0
09-12-2019,55.77,128910000.0,0.0
09-13-2019,54.69,159050000.0,0.0
09-16-2019,54.98,84630000.0,0.0
09-17-2019,55.17,73550000.0,0.0
09-18-2019,55.69,102570000.0,0.0
09-19-2019,55.24,88750000.0,0.0
09-20-2019,54.43,231910000.0,0.0
09-23-2019,54.68,77680000.0,0.0
09-24-2019,54.42,125740000.0,0.0
09-25-2019,55.26,89920000.0,0.0
09-26-2019,54.97,76350000.0,0.0
09-27-2019,54.7,101450000.0,0.0
09-30-2019,55.99,105270000.0,0.0
10-01-2019,56.15,144750000.0,0.0
10-02-2019,54.74,143070000.0,0.0
10-03-2019,55.2,121410000.0,0.0
10-04-2019,56.75,139020000.0,0.0
10-07-2019,56.77,123560000.0,0.0
10-08-2019,56.1,117130000.0,0.0
10-09-2019,56.76,76120000.0,0.0
10-10-2019,57.52,115850000.0,0.0
10-11-2019,59.05,167960000.0,0.0
10-14-2019,58.97,97650000.0,0.0
10-15-2019,58.83,92160000.0,0.0
10-16-2019,58.59,77150000.0,0.0
10-17-2019,58.82,69090000.0,0.0
10-18-2019,59.1,97510000.0,0.0
10-21-2019,60.13,89470000.0,0.0
10-22-2019,59.99,90740000.0,0.0
10-23-2019,60.8,79730000.0,0.0
10-24-2019,60.9,71670000.0,0.0
10-25-2019,61.65,73480000.0,0.0
10-28-2019,62.26,96570000.0,0.0
10-29-2019,60.82,142840000.0,0.0
10-30-2019,60.81,124520000.0,0.0
10-31-2019,62.19,139160000.0,0.0
11-01-2019,63.95,151130000.0,0.0
