date,Apple_Price,Apple_Vol.,sentiment_class
07-27-23,193.22,47460000.0,0.143
07-26-23,194.5,47470000.0,-0.0259999999999999
07-25-23,193.62,37280000.0,0.12
07-24-23,192.75,44860000.0,-0.077
07-21-23,191.94,71950000.0,0.0
07-20-23,193.13,59580000.0,0.172
07-19-23,195.1,80510000.0,0.022
07-18-23,193.73,48200000.0,0.181
07-17-23,193.99,49840000.0,0.14
07-14-23,190.69,41620000.0,0.1249999999999999
07-13-23,190.54,41340000.0,0.181
07-12-23,189.77,59770000.0,0.102
07-11-23,188.08,46420000.0,0.085
07-10-23,188.61,59100000.0,0.11
07-07-23,190.68,46820000.0,0.086
07-06-23,191.81,45000000.0,0.0289999999999999
07-05-23,191.33,46590000.0,0.044
07-03-23,192.46,31460000.0,0.115
06-30-23,193.97,85210000.0,0.281
06-29-23,189.59,45450000.0,0.0
06-28-23,189.25,50900000.0,0.059
06-27-23,188.06,49730000.0,0.0
06-26-23,185.27,47500000.0,0.001
06-23-23,186.68,53120000.0,0.058
06-22-23,187.0,50840000.0,-0.015
06-21-23,183.96,49360000.0,0.097
06-20-23,185.01,48960000.0,0.0269999999999999
06-16-23,184.92,101260000.0,0.067
06-15-23,186.01,65280000.0,0.177
06-14-23,183.95,56520000.0,0.034
06-13-23,183.31,54650000.0,0.05
06-12-23,183.79,53570000.0,0.0
06-09-23,180.96,48900000.0,0.042
06-08-23,180.57,50210000.0,0.036
06-07-23,177.82,61940000.0,0.118
06-06-23,179.21,64340000.0,0.141
06-05-23,179.58,121320000.0,0.1679999999999999
06-02-23,180.95,62000000.0,0.037
06-01-23,180.09,65300000.0,0.042
05-31-23,177.25,99310000.0,0.017
05-30-23,177.3,55770000.0,0.095
05-26-23,175.43,54830000.0,0.117
05-25-23,172.99,55920000.0,0.159
05-24-23,171.84,43490000.0,0.088
05-23-23,171.56,49180000.0,0.146
05-22-23,174.2,43310000.0,0.1379999999999999
05-19-23,175.16,52680000.0,-0.033
05-18-23,175.05,65090000.0,0.072
05-17-23,172.69,57950000.0,-0.005
05-16-23,172.07,42110000.0,0.146
05-15-23,172.07,37180000.0,0.0549999999999999
05-12-23,172.57,45530000.0,0.065
05-11-23,173.75,49510000.0,0.038
05-10-23,173.55,53720000.0,0.018
05-09-23,171.77,45330000.0,0.146
05-08-23,173.5,55960000.0,0.102
05-05-23,173.57,113450000.0,0.107
05-04-23,165.79,70380000.0,0.0029999999999999
05-03-23,167.45,59440000.0,0.151
05-02-23,168.54,48430000.0,0.054
05-01-23,169.59,49390000.0,-0.031
04-28-23,169.68,55280000.0,0.0
04-27-23,168.41,64220000.0,-0.0369999999999999
04-26-23,163.76,44110000.0,0.032
04-25-23,163.77,48170000.0,0.045
04-24-23,165.33,38990000.0,0.094
04-21-23,165.02,58340000.0,0.153
04-20-23,166.65,52460000.0,0.026
04-19-23,167.63,47240000.0,0.1049999999999999
04-18-23,166.47,48410000.0,-0.034
04-17-23,165.23,41520000.0,0.096
04-14-23,165.21,49390000.0,0.168
04-13-23,165.56,67160000.0,0.121
04-12-23,160.1,49400000.0,0.069
04-11-23,160.8,46310000.0,-0.0569999999999999
