date,Apple_Price,Apple_Vol.
2019-09-19,55.24,88750000.0
2019-09-20,54.43,231910000.0
2019-09-23,54.68,77680000.0
2019-09-24,54.42,125740000.0
2019-09-25,55.26,89920000.0
2019-09-26,54.97,76350000.0
2019-09-27,54.7,101450000.0
2019-09-30,55.99,105270000.0
2019-10-01,56.15,144750000.0
2019-10-02,54.74,143070000.0
2019-10-03,55.2,121410000.0
2019-10-04,56.75,139020000.0
2019-10-07,56.77,123560000.0
2019-10-08,56.1,117130000.0
2019-10-09,56.76,76120000.0
2019-10-10,57.52,115850000.0
2019-10-11,59.05,167960000.0
2019-10-14,58.97,97650000.0
2019-10-15,58.83,92160000.0
2019-10-16,58.59,77150000.0
2019-10-17,58.82,69090000.0
2019-10-18,59.1,97510000.0
2019-10-21,60.13,89470000.0
2019-10-22,59.99,90740000.0
2019-10-23,60.8,79730000.0
2019-10-24,60.9,71670000.0
2019-10-25,61.65,73480000.0
2019-10-28,62.26,96570000.0
2019-10-29,60.82,142840000.0
2019-10-30,60.81,124520000.0
2019-10-31,62.19,139160000.0
2019-11-01,63.95,151130000.0
2019-11-04,64.38,103270000.0
2019-11-05,64.28,79900000.0
2019-11-06,64.31,75860000.0
2019-11-07,64.86,94940000.0
2019-11-08,65.03,70080000.0
2019-11-11,65.55,82030000.0
2019-11-12,65.49,87390000.0
2019-11-13,66.12,103270000.0
2019-11-14,65.66,89580000.0
2019-11-15,66.44,100370000.0
2019-11-18,66.78,86800000.0
2019-11-19,66.57,76280000.0
2019-11-20,65.8,106440000.0
2019-11-21,65.5,121400000.0
2019-11-22,65.44,65330000.0
2019-11-25,66.59,84120000.0
2019-11-26,66.07,105340000.0
2019-11-27,66.96,65540000.00000001
2019-11-28,66.96,65540000.00000001
2019-11-29,66.81,46620000.0
2019-12-02,66.04,94770000.0
2019-12-03,64.86,117510000.0
2019-12-04,65.44,67240000.0
2019-12-05,66.39,74650000.0
2019-12-06,67.68,106190000.0
2019-12-09,66.73,128730000.0
2019-12-10,67.12,90530000.0
2019-12-11,67.69,78890000.0
2019-12-12,67.86,137750000.0
2019-12-13,68.79,133730000.0
2019-12-16,69.97,128320000.0
2019-12-17,70.1,114300000.0
2019-12-18,69.94,116100000.0
2019-12-19,70.0,98510000.0
2019-12-20,69.86,276130000.0
2019-12-23,71.0,98710000.0
2019-12-24,71.07,48480000.0
2019-12-25,71.07,48480000.0
2019-12-26,72.48,93340000.0
2019-12-27,72.45,146370000.0
2019-12-30,72.88,144240000.0
2019-12-31,73.41,100990000.0
2020-01-01,73.41,100990000.0
2020-01-02,75.09,135650000.0
2020-01-03,74.36,146540000.0
2020-01-06,74.95,118580000.0
2020-01-07,74.6,111510000.0
2020-01-08,75.8,132360000.0
2020-01-09,77.41,170490000.0
2020-01-10,77.58,140870000.0
2020-01-13,79.24,122090000.0
2020-01-14,78.17,162610000.0
2020-01-15,77.83,121920000.0
2020-01-16,78.81,108830000.0
2020-01-17,79.68,137820000.0
2020-01-20,79.68,137820000.0
2020-01-21,79.14,110840000.0
2020-01-22,79.42,101830000.0
2020-01-23,79.81,104470000.0
2020-01-24,79.58,146540000.0
2020-01-27,77.24,161940000.0
2020-01-28,79.42,162230000.0
2020-01-29,81.08,216600000.0
2020-01-30,80.97,126740000.0
2020-01-31,77.38,199590000.0
2020-02-03,77.17,173990000.0
2020-02-04,79.71,136620000.0
2020-02-05,80.36,118830000.0
2020-02-06,81.3,105430000.0
2020-02-07,80.01,117680000.0
2020-02-10,80.39,109350000.0
2020-02-11,79.9,94320000.0
2020-02-12,81.8,113730000.0
2020-02-13,81.22,94750000.0
2020-02-14,81.24,80110000.0
2020-02-17,81.24,80110000.0
2020-02-18,79.75,152760000.0
2020-02-19,80.91,93980000.0
2020-02-20,80.08,100570000.0
2020-02-21,78.26,129710000.0
2020-02-24,74.55,222200000.0
2020-02-25,72.02,230670000.0
2020-02-26,73.16,198710000.0
2020-02-27,68.38,320610000.0
2020-02-28,68.34,426880000.0
2020-03-02,74.7,341400000.0
2020-03-03,72.33,319480000.0
2020-03-04,75.69,219180000.0
2020-03-05,73.23,187570000.0
2020-03-06,72.26,226180000.0
2020-03-09,66.54,286740000.0
2020-03-10,71.33,285290000.0
2020-03-11,68.86,256380000.0
2020-03-12,62.06,418470000.0
2020-03-13,69.49,370730000.0
2020-03-16,60.55,322420000.0
2020-03-17,63.22,324060000.0
2020-03-18,61.67,300230000.0
2020-03-19,61.2,271860000.0
2020-03-20,57.31,401690000.0
2020-03-23,56.09,336750000.0
2020-03-24,61.72,287530000.0
2020-03-25,61.38,303600000.0
